SEED,PLANNER,CONTROLLER,EXECUTION TIME,PLAN TIME,N AGENTS,N TASKS,N DEPENDENCIES,EXPERIMENT DATE/TIME
,,,,,,,,
,,,,,,,,
1,centralized_planner,simple_controller,11.100000000000001,0.0007040500640869141,3,6,3.0,202008121318
2,centralized_planner,simple_controller,10.700000000000001,0.0006630420684814453,3,6,3.0,202008121318
3,centralized_planner,simple_controller,8.9,0.0006625652313232422,3,6,3.0,202008121318

3,centralized_planner,simple_controller,16.0,0.0010333061218261719,3,7,3.0,202008121429
4,centralized_planner,simple_controller,17.400000000000002,0.0009596347808837891,3,7,3.0,202008121429
5,centralized_planner,simple_controller,17.2,0.0010170936584472656,3,7,3.0,202008121429


5,centralized_planner,simple_controller,10.0,0.0011103153228759766,3,8,3.0,202008121430
1,centralized_planner,simple_controller,12.700000000000001,0.0013599395751953125,3,8,3.0,202008121430
2,centralized_planner,simple_controller,11.200000000000001,0.0011212825775146484,3,8,3.0,202008121430

2,centralized_planner,simple_controller,11.5,0.0014388561248779297,3,9,3.0,202008121431
1,centralized_planner,simple_controller,12.0,0.0013723373413085938,3,9,3.0,202008121431
3,centralized_planner,simple_controller,14.0,0.001249551773071289,3,9,3.0,202008121432

3,centralized_planner,simple_controller,13.9,0.0015888214111328125,3,10,3.0,202008121432
32,centralized_planner,simple_controller,21.1,0.0016820430755615234,3,10,3.0,202008121432
1,centralized_planner,simple_controller,17.0,0.0015628337860107422,3,10,3.0,202008121432

1,centralized_planner,simple_controller,16.2,0.0018215179443359375,3,11,3.0,202008121433
2,centralized_planner,simple_controller,14.200000000000001,0.0018029212951660156,3,11,3.0,202008121433
3,centralized_planner,simple_controller,20.200000000000003,0.0018205642700195312,3,11,3.0,202008121433

3,centralized_planner,simple_controller,15.100000000000001,0.0022597312927246094,3,12,3.0,202008121434
2,centralized_planner,simple_controller,16.0,0.002029895782470703,3,12,3.0,202008121434
1,centralized_planner,simple_controller,17.2,0.0020215511322021484,3,12,3.0,202008121434

1,centralized_planner,simple_controller,21.900000000000002,0.0026330947875976562,3,13,3.0,202008121434
2,centralized_planner,simple_controller,25.0,0.0025835037231445312,3,13,3.0,202008121435
3,centralized_planner,simple_controller,16.400000000000002,0.002482175827026367,3,13,3.0,202008121435

3,centralized_planner,simple_controller,20.900000000000002,0.0027582645416259766,3,14,3.0,202008121435
2,centralized_planner,simple_controller,17.8,0.003066539764404297,3,14,3.0,202008121435
1,centralized_planner,simple_controller,20.900000000000002,0.002796173095703125,3,14,3.0,202008121435

1,centralized_planner,simple_controller,18.7,0.003121614456176758,3,15,3.0,202008121436
2,centralized_planner,simple_controller,18.900000000000002,0.003143787384033203,3,15,3.0,202008121436
3,centralized_planner,simple_controller,17.8,0.0030374526977539062,3,15,3.0,202008121436

1,centralized_planner,simple_controller,24.8,0.0037183761596679688,3,16,3.0,202008121437
2,centralized_planner,simple_controller,22.8,0.003835916519165039,3,16,3.0,202008121437
3,centralized_planner,simple_controller,23.900000000000002,0.0037789344787597656,3,16,3.0,202008121437

3,centralized_planner,simple_controller,20.0,0.004455089569091797,3,17,3.0,202008121438
